id,name,dob,height(m),weight(kg),sport,country,num_followers,num_articles,personal_best,event,coach_id
4,ku bon-chan,2002-02-07,1.81,66,archery,south korea,5189,91,95,men's individual,c_002
5,jean-charles valladont,1997-08-25,1.54,62,archery,france,5324,3,71,men's individual,c_033
6,brady ellison,2006-12-03,1.71,90,archery,usa,7943,5,97,men's individual,c_003
15,nicola adams,2003-11-15,1.56,87,boxing,great britain,3011,48,26,women's flyweight,c_008
19,sarah ourahmoune,1994-05-12,1.69,75,boxing,france,2030,93,80,women's flyweight,c_037
16,ren cancan,1988-12-30,1.51,57,boxing,china,6561,4,91,women's flyweight,c_006
20,ingrit valencia,1998-05-16,1.75,99,boxing,columbia,1492,15,85,women's flyweight,c_038
28,greg van avermaet,1994-01-03,1.91,83,cycling,belgium,9123,55,27.83,men's roadrace,c_009
29,jakob fugslsang,2004-12-23,1.94,100,cycling,denmark,9684,50,97.6,men's roadrace,c_011
30,rafal majka,1993-09-23,1.77,54,cycling,poland,9142,76,61.46,men's roadrace,c_010
9,ashton eaton,1989-06-29,1.54,59,athletics,usa,1804,58,8893,decathlon,c_013
12,kevin mayer,1994-01-30,1.63,100,athletics,france,6440,89,8834,decathlon,c_028
13,dalmian warner,1990-02-02,1.68,96,athletics,canada,696,90,8666,decathlon,c_015
37,emese szasz,1992-07-31,1.91,55,fencing,hungary,5055,35,82,individual epee,c_031
38,rossella flamingo,1992-09-16,1.57,62,fencing,italy ,5240,20,48,individual epee,c_018
39,sun yiwen,2007-03-25,1.76,59,fencing,china,5048,50,48,individual epee,c_017
45,simone biles,1999-11-12,1.9,70,gymnastics,usa,5250,35,33,individual all around,c_020
46,aly raisman,1999-05-12,1.67,51,gymnastics,usa,412,37,48,individual all around,c_020
44,aliya mustafina,1993-09-04,1.58,96,gymnastics,russia,8080,0,47,individual all around,c_022
53,niccolo campriani,1994-05-04,1.95,66,shooting,italy ,9119,47,88,10m air rifle,c_026
54,serhiy kulish,2004-06-28,1.95,74,shooting,brazil,9544,71,25,10m air rifle,c_025
55,vladimir maslennikov,1995-12-07,1.94,66,shooting,russia,9857,58,78,10m air rifle,c_024
